OTU	Pelagic01_2000uM	Pelagic01_1000uM	Pelagic1_500uM	Pelagic1_100uM	Pelagic1_Placa	LEK-01_Placa	LEK-01_100uM	LEK-01_500uM	LEK-02_Placa	LEK-02_100uM	LEK-02_500uM	LEK-02_2000uM	LEK-03_Placa	LEK-03_100uM	LEK-03_500uM	LEK-03_2000uM	PAS-01_Placa	PAS-01_100uM	PAS-01_500uM	PAS-02_Placa	PAS-02_100uM	PAS-02_500uM	PAS-02_2000uM	PAS-03_Placa	PAS-03_100uM	PAS-03_500uM	PAS-03_2000uM	ZUM-01_Placa	ZUM-01_100uM	ZUM-01_500uM	ZUM-01_2000uM	ZUM-02_Placa	ZUM-02_100uM	ZUM-02_500uM	ZUM-02_2000uM	ZUM-03_Placa	ZUM-03_100uM	ZUM-03_500uM	classification
SWARM_7432	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Porifera;Demospongiae;Biemnida;Biemnidae;Biemna
SWARM_905	0	0	0	0	0	1	2	0	0	11	6	2	0	21	0	6	0	24	5	0	0	1	1	12	7	3	0	0	0	2	0	0	0	1	0	1	1	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Hydrozoa
SWARM_904	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	18	7	6	2	0	3	51	52	1	10	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Hydrozoa
SWARM_7853	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca
SWARM_301	0	0	0	0	0	0	54	287	1	36	357	30	8	20	215	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Decapoda;Alpheidae;Synalpheus;Synalpheus gambarelloides
SWARM_306	0	0	7	19	5	5	64	5	32	0	2	0	38	3	0	1	1	10	4	113	140	57	25	33	21	5	1	0	3	0	0	0	1	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Hydrozoa;Leptothecata
SWARM_657	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	15	129	15	10	59	1	9	8	216	3	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Nudibranchia;Dotidae;Doto;Doto coronata
SWARM_309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	92	274	116	33	11	34	11	2	0	0	0	0	0	1	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Hydrozoa;Leptothecata;Obeliidae
SWARM_22256	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Hydrozoa
SWARM_1606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Protodrilidae;Protodrilidae (family);Protodrilus;Protodrilus ciliatus
SWARM_621	1	0	15	12	1	4	0	4	4	35	0	6	0	7	0	0	0	29	32	0	3	0	1	0	0	0	2	0	15	0	0	0	15	1	0	0	2	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Littorinimorpha;Rissoidae;Alvania;Alvania punctura
SWARM_629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	46	10	37	26	6	5	67	62	8	26	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Hydrozoa;Leptothecata
SWARM_21126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Hexanauplia;Harpacticoida;Harpacticoida sp. 09PROBE;Harpacticoida sp. 09PROBE (genus)
SWARM_157	574	83	35	37	900	8	32	10	31	461	23	32	24	95	16	15	32	39	14	160	33	14	48	194	11	6	46	2	7	5	0	1	61	7	0	1	1	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Bivalvia;Myida;Hiatellidae;Hiatella;Hiatella arctica
SWARM_400	0	0	0	0	0	0	0	1	0	0	17	0	0	0	0	0	0	6	1	0	0	1	0	9	5	3	8	2	0	9	0	0	0	7	0	0	20	36	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Hydrozoa;Leptothecata;Halopterididae;Halopteris;Halopteris diaphana
SWARM_401	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	60	29	68	14	20	10	92	28	18	2	0	2	0	0	0	2	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Hydrozoa;Leptothecata
